CD Code,County,District,Enrollment,DOCType,STAFF TRAINING - Y OR N,TEACHERS INCLUDED?,GRADES INCLUDED,GRADES NOT INCLUDED,STAFF TRAIN - ELEM,STAFF TRAIN - MIDDLE,STAFF TRAIN - HIGH,TEACHER TRAIN - ELEM,TEACHER TRAIN- MIDDLE,TEACHER TRAIN - HIGH,STUDENT TRAIN - ELEM,STUDENT TRAIN - MIDDLE,STUDENT TRAIN - HIGH,STUDENT TRAINING? Y OR N,STU GRADES: YES,STU GRADES: NO,# Elem,# Middle,# High,Total,additional comments for web,link to school logo,relative
761648,Contra Costa,Antioch Unified,"17,326",Unified School District,Y,PARTIAL,ALL,NA,Yes,Yes,Yes,Sometimes**,Sometimes**,Sometimes**,No,Yes,Yes,PARTIAL,"M,H",E,UNKNOWN,UNKNOWN,UNKNOWN,0,,https://www.google.com/search?q=antioch+unified+school+district&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjN2Ifs_MPWAhXFNpQKHbbVAUgQ_AUIDSgE&biw=1440&bih=834#imgrc=aCj1UHXYJt7PfM:,antioch.jpg
4369419,Santa Clara,Cupertino Union,"18,598",Elementary School District,Y,N,"E,M",NA,Yes,Yes,NA,Sometimes*,Sometimes*,NA,No,Sometimes*,NA,N,NA,"E,M",UNKNOWN,UNKNOWN,UNKNOWN,0,The district said it only offers middle school students sensitvity training if a transgender student is enrolled at the school. Such training is not provided to elementary school students.,https://www.google.com/search?q=cupertino+unified+school+district&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjinJag_8PWAhUMUrwKHWZDDvYQ_AUIDCgD&biw=1440&bih=834#imgrc=-g7ierM6Fga8SM:,cupertino-union.jpg
4369427,Santa Clara,East Side Union High,"27,049",High School District,Y,N,NA,H,NA,NA,Yes,NA,NA,No,NA,NA,No,No,NA,H,UNKNOWN,UNKNOWN,UNKNOWN,0,"The district, along with at least 4 others in the Bay Area, does not provide teachers training on transgender issues.  The district declined an on-camera interview.",https://www.google.com/search?q=east+side+union+high+school+district&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjL9pv8_sPWAhVBOrwKHYfJBJMQ_AUIDCgD&biw=1440&bih=834#imgrc=5WLfsPK-B_jOlM:,east-side-union.png
4870540,Solano,Fairfield-Suisun Unified,"21,607",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,N,NA,ALL,UNKNOWN,UNKNOWN,UNKNOWN,0,The district said it provides annual staff and teacher training sessions that include a review of the district's non-discrimination policy.,https://www.google.com/search?q=fairfield+suisun+unified+school+district&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjh3r6V_8PWAhVHfLwKHZuxCKcQ_AUIDCgD&biw=1440&bih=834#imgrc=zrNZGIMwMsknUM:,fairfield-suisun.jpeg
161176,Alameda,Fremont Unified,"35,171",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,PARTIAL,"M,H",E,UNKNOWN,UNKNOWN,UNKNOWN,0,"This year, the district held it's first-ever training session for teachers after only providing such training to school administrators.",https://www.google.com/search?q=fremont+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjGjd_G_sPWAhXBTLwKHZ5RDjMQ_AUIDSgE&biw=1440&bih=834#imgrc=-MCBAC-1rI77-M:,fremont-unified.jpg
161192,Alameda,Hayward Unified,"22,922",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Y,ALL,NA,UNKNOWN,UNKNOWN,UNKNOWN,estimate 65,The district estimates 60-65 transgender students are enrolled in the district. ,https://www.google.com/search?q=hayward+unified+school+district&source=lnms&tbm=isch&sa=X&ved=0ahUKEwi7i96H_8PWAhWKerwKHTi3DLkQ_AUIDSgE&biw=1440&bih=834#imgrc=9FAeZ6K2aH0h_M:,hayward.png
161200,Alameda,Livermore Valley Joint Unified,"14,016",Unified School District,Y,N,ALL,NA,Yes,Yes,Yes,No,No,No,No,No,No,N,NA,ALL,UNKNOWN,UNKNOWN,UNKNOWN,0,"The district said it is open to potentially providing teacher training specific to transgender issues. In the meantime, it said it focuses on a ""personalized approach"" to tend to the needs of each student who identifies as transgender.  ",https://www.google.com/search?q=livermore+valley+joint+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjs-KzT_8PWAhULtJQKHfEcC50Q_AUIDSgE&biw=1440&bih=834#imgrc=ABDLNAGfcfK6SM:,livermore.png
761754,Contra Costa,Mt. Diablo Unified,"31,814",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes*,Sometimes*,Sometimes*,PARTIAL,ONLY IF TRANS ENROLLED,NA,UNKNOWN,UNKNOWN,UNKNOWN,0,,https://www.google.com/search?q=mt+diablo+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjM-Jno_sPWAhXDGJQKHWcNDIUQ_AUIDCgD&biw=1440&bih=834#imgrc=bjDy18_cc34hRM:,mt-diablo.png
2866266,Napa,Napa Valley Unified,"18,224",Unified School District,Y,N,ALL,NA,Yes,Yes,Yes,No,No,No,No,Yes,Yes,PARTIAL,"M,H",E,UNKNOWN,UNKNOWN,UNKNOWN,0,"The district, along with at least 4 others in the Bay Area, does not provide teachers training on transgender issues. The district declined an on-camera interview.",https://www.google.com/search?q=napa+valley+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjhg_6o_8PWAhXGbrwKHd0uDlYQ_AUICygC&biw=1440&bih=834#imgrc=KdbFWZv74NKWpM:,napa-val.jpg
161259,Alameda,Oakland Unified,"49,760",Unified School District,Y,Y,ALL,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Y,ALL,NA,UNKNOWN,UNKNOWN,UNKNOWN,0,"All middle and high schools at the district have an on-site LGBTQ liason, who is the point person for LGBTQ youth.",https://www.google.com/search?q=oakland+unified&source=lnms&tbm=isch&sa=X&ved=0ahUKEwiu-dn7_cPWAhWLXrwKHZTGA74Q_AUIDCgD&biw=1440&bih=834#imgrc=Thgic3cC54f97M:,oakland-unified.jpg
